X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X2_7,MU0,MU1,S1,GT
1,197.5,1,2010,8,41,1,3,4,7,97.5,297.5,1,200.0
0,191.0,1,2005,1,37,2,2,3,9,91.0,291.0,1,200.0
0,164.39999389648438,1,2020,5,55,2,3,3,14,64.39999389648438,264.3999938964844,1,200.0
0,153.1999969482422,0,2005,8,57,1,2,3,8,53.19999694824219,253.1999969482422,1,200.0
1,330.0,1,2000,1,36,1,2,5,14,230.0,430.0,1,200.0
0,465.0,1,2020,11,48,1,2,3,6,365.0,565.0,1,200.0
1,157.6666717529297,0,2005,13,35,1,1,5,7,57.66667175292969,257.6666717529297,1,200.0
0,197.5,1,2020,5,42,1,1,3,3,97.5,297.5,1,200.0
1,283.75,1,2010,4,48,2,2,4,7,183.75,383.75,1,200.0
1,250.0,1,2000,8,32,1,2,5,8,150.0,350.0,1,200.0
1,157.6666717529297,0,2010,6,32,2,1,4,7,57.66667175292969,257.6666717529297,1,200.0
1,60.0,0,2000,10,32,1,2,4,3,-40.0,160.0,1,200.0
1,176.6666717529297,1,2005,10,33,1,2,5,3,76.66667175292969,276.6666717529297,1,200.0
1,157.6666717529297,0,2005,8,35,2,2,5,16,57.66667175292969,257.6666717529297,1,200.0
0,177.5,1,2005,10,48,1,2,3,6,77.5,277.5,1,200.0
0,153.1999969482422,0,2010,14,57,2,2,1,3,53.19999694824219,253.1999969482422,1,200.0
1,197.5,1,2020,8,38,1,1,4,6,97.5,297.5,1,200.0
0,157.6666717529297,0,2005,14,36,1,2,3,7,57.66667175292969,257.6666717529297,1,200.0
0,153.1999969482422,0,2010,6,63,1,2,3,8,53.19999694824219,253.1999969482422,1,200.0
0,157.6666717529297,0,2010,2,40,1,3,3,6,57.66667175292969,257.6666717529297,1,200.0
0,157.6666717529297,0,2005,2,43,2,2,3,9,57.66667175292969,257.6666717529297,1,200.0
0,153.1999969482422,0,2020,3,65,1,2,3,7,53.19999694824219,253.1999969482422,1,200.0
1,191.0,1,2000,9,40,1,2,5,7,91.0,291.0,1,200.0
0,157.6666717529297,0,2010,13,36,1,1,3,11,57.66667175292969,257.6666717529297,1,200.0
0,257.0,1,2010,8,51,1,2,3,18,157.0,357.0,1,200.0
1,157.6666717529297,0,2020,1,32,2,1,5,16,57.66667175292969,257.6666717529297,1,200.0
0,182.5,1,2015,8,23,2,1,3,3,82.5,282.5,1,200.0
1,145.75,0,2020,7,42,2,3,5,11,45.75,245.75,1,200.0
0,283.75,1,2015,1,45,2,3,3,17,183.75,383.75,1,200.0
0,177.5,1,2005,12,46,2,3,2,3,77.5,277.5,1,200.0
0,153.1999969482422,0,2020,10,64,1,2,3,3,53.19999694824219,253.1999969482422,1,200.0
1,300.75,1,2020,4,36,1,1,5,13,200.75,400.75,1,200.0
0,157.6666717529297,0,2005,1,45,1,2,2,3,57.66667175292969,257.6666717529297,1,200.0
0,60.0,0,2000,12,31,2,2,3,12,-40.0,160.0,1,200.0
0,153.1999969482422,0,2015,8,60,1,2,3,3,53.19999694824219,253.1999969482422,1,200.0
0,290.0,1,2005,1,31,1,1,2,6,190.0,390.0,1,200.0
1,283.75,1,2010,1,50,1,2,5,8,183.75,383.75,1,200.0
1,177.5,1,2015,8,44,2,2,5,3,77.5,277.5,1,200.0
1,60.0,0,2015,4,23,2,1,5,16,-40.0,160.0,1,200.0
1,80.0,0,2005,1,21,2,1,5,19,-20.0,180.0,1,200.0
1,157.6666717529297,0,2020,1,28,1,1,4,11,57.66667175292969,257.6666717529297,1,200.0
1,157.6666717529297,0,2020,8,29,1,1,5,10,57.66667175292969,257.6666717529297,1,200.0
