X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,MU0,MU1,S1,GT
0,170.0,0,8,26,2,2,3,3,70.0,270.0,1,200.0
0,130.0,0,1,68,1,2,2,12,30.0,230.0,1,200.0
1,190.0,0,7,48,1,2,5,9,90.0,290.0,1,200.0
1,400.0,1,2,56,1,2,5,3,300.0,500.0,1,200.0
0,150.0,0,8,56,2,2,2,9,50.0,250.0,1,200.0
0,200.0,0,2,25,1,1,3,8,100.0,300.0,1,200.0
0,200.0,0,5,57,1,2,3,7,100.0,300.0,1,200.0
1,173.0,0,1,51,2,2,5,15,73.0,273.0,1,200.0
1,300.0,1,1,32,1,2,4,9,200.0,400.0,1,200.0
1,270.0,1,16,44,1,2,4,6,170.0,370.0,1,200.0
1,350.0,1,15,38,1,2,5,3,250.0,450.0,1,200.0
0,155.0,0,12,44,2,3,3,9,55.0,255.0,1,200.0
0,170.0,0,11,33,2,2,3,3,70.0,270.0,1,200.0
1,450.0,1,8,48,2,2,5,16,350.0,550.0,1,200.0
1,230.0,1,1,33,1,1,5,11,130.0,330.0,1,200.0
1,75.0,0,8,32,2,2,5,16,-25.0,175.0,1,200.0
1,200.0,0,8,35,2,1,4,7,100.0,300.0,1,200.0
0,150.0,0,1,24,1,1,3,7,50.0,250.0,1,200.0
0,300.0,1,8,53,2,2,3,13,200.0,400.0,1,200.0
1,520.0,1,4,38,1,2,5,3,420.0,620.0,1,200.0
0,71.0,0,15,60,2,3,2,14,-29.0,171.0,1,200.0
1,230.0,1,11,23,1,1,4,3,130.0,330.0,1,200.0
1,200.0,0,8,49,2,2,5,9,100.0,300.0,1,200.0
0,150.0,0,1,58,1,2,3,15,50.0,250.0,1,200.0
1,200.0,0,1,31,2,1,5,16,100.0,300.0,1,200.0
0,130.0,0,10,61,1,2,3,15,30.0,230.0,1,200.0
1,150.0,0,13,59,1,2,4,11,50.0,250.0,1,200.0
1,520.0,1,8,27,2,1,5,7,420.0,620.0,1,200.0
0,300.0,1,8,26,1,2,3,3,200.0,400.0,1,200.0
0,50.0,0,8,28,1,1,3,19,-50.0,150.0,1,200.0
0,200.0,0,10,55,1,2,3,8,100.0,300.0,1,200.0
1,600.0,1,8,42,1,2,5,8,500.0,700.0,1,200.0
0,80.0,0,16,62,2,2,2,1,-20.0,180.0,1,200.0
1,225.0,1,1,35,1,1,5,13,125.0,325.0,1,200.0
1,200.0,0,1,26,2,1,5,17,100.0,300.0,1,200.0
1,810.0,1,7,32,1,2,5,6,710.0,910.0,1,200.0
0,65.0,0,11,55,1,2,3,14,-35.0,165.0,1,200.0
0,270.0,1,14,25,1,1,3,3,170.0,370.0,1,200.0
0,85.0,0,5,19,1,1,3,3,-15.0,185.0,1,200.0
0,55.0,0,15,20,1,1,3,1,-45.0,155.0,1,200.0
1,85.0,0,10,38,1,2,5,6,-15.0,185.0,1,200.0
0,70.0,0,2,45,2,2,3,9,-30.0,170.0,1,200.0
