pid,year,p_region,p_age,p_sex,p_married,p_edu,Ind
8804,2003.9668,0.7890959,9.951315,0.2407426,0.4012826,0.885961,2.054792
9003,2008.1213,2.133469,20.190796,0.44084343,0.84452367,1.6598794,4.0982146
9004,2003.9668,0.7890955,9.951336,0.24074203,0.4012888,0.8859595,2.054796
9101,2003.9668,0.7890972,9.951323,0.24074599,0.40127432,0.88596624,2.0547907
9103,2016.4728,4.591136,42.26358,0.8251424,1.7836436,3.3004668,7.983802
9104,2016.4728,4.591118,42.263634,0.82510847,1.7836417,3.3004699,7.983793
9105,2008.1213,2.1334672,20.190762,0.44082257,0.8445164,1.6598713,4.09822
9202,2008.1213,2.1334736,20.190783,0.44083396,0.8445282,1.6598701,4.0982175
9203,2003.9668,0.7890891,9.951301,0.24073744,0.40127063,0.8859562,2.054783
9301,2020.6484,5.819919,53.299812,1.0174336,2.2532353,4.1207495,9.92663
9302,2003.9668,0.7890899,9.951308,0.24073645,0.40127414,0.8859627,2.0547853
9303,2016.4728,4.591129,42.26363,0.82510006,1.7836374,3.300467,7.9837885
9401,2012.297,3.3622766,31.227188,0.63287723,1.3140318,2.480164,6.040981
9402,2008.1213,2.133483,20.190811,0.44082984,0.8445219,1.6598809,4.0982194
9404,2008.1213,2.1334803,20.190807,0.44083303,0.8445293,1.6598742,4.098222
9503,2003.9668,0.7890918,9.95132,0.24073526,0.40127617,0.8859566,2.0547903
9701,2012.297,3.362262,31.227201,0.63290435,1.3140513,2.4801693,6.040975
9801,2003.9668,0.78908646,9.951291,0.24073523,0.40127605,0.88595486,2.0547843
9802,2016.4728,4.5911365,42.263615,0.82510835,1.7836577,3.3004646,7.9838004
9803,2003.9668,0.7891015,9.951333,0.24074394,0.40128833,0.88596225,2.0547955
9804,2003.9668,0.7890947,9.951321,0.24073905,0.40127826,0.8859592,2.0547905
9902,2003.9668,0.7890974,9.951319,0.24074265,0.40128094,0.8859604,2.0547907
10001,2012.297,3.3622677,31.227184,0.63289505,1.3140332,2.480165,6.040964
10002,2012.297,3.3622706,31.227169,0.63289946,1.314044,2.4801612,6.040968
10101,2016.4728,4.591135,42.263638,0.82511353,1.7836291,3.3004723,7.9837914
10102,2003.9668,0.789096,9.951325,0.24073967,0.40127861,0.8859635,2.054791
10105,2003.9668,0.78909063,9.951312,0.24073881,0.4012748,0.8859618,2.0547874
10201,2003.9668,0.78910124,9.95133,0.24074385,0.4012878,0.8859644,2.0548017
10202,2008.1213,2.1334698,20.190788,0.44084767,0.84453166,1.6598747,4.098216
10301,2008.1213,2.133472,20.190783,0.44083035,0.84452355,1.6598668,4.0982203
10302,2012.297,3.3622818,31.227173,0.6328999,1.3140674,2.4801679,6.0409713
10303,2003.9668,0.7890891,9.951286,0.24073604,0.40126956,0.885957,2.054781
10304,2008.1213,2.1334684,20.190804,0.44084108,0.84452546,1.6598845,4.098214
10403,2003.9668,0.7890953,9.951321,0.2407378,0.40128136,0.8859609,2.0547931
10404,2016.4728,4.591134,42.263596,0.8251249,1.7836639,3.3004653,7.983803
10504,2003.9668,0.7890998,9.951318,0.2407363,0.4012844,0.8859584,2.0547931
10601,2008.1213,2.13347,20.190783,0.4408516,0.84453297,1.6598792,4.0982156
10603,2003.9668,0.78910065,9.951317,0.24074212,0.4012831,0.8859593,2.0547934
10604,2012.297,3.3622673,31.227156,0.63289964,1.3140377,2.4801657,6.0409713
10605,2003.9668,0.78909016,9.951298,0.24073803,0.40127158,0.88595694,2.0547826
10705,2003.9668,0.7891022,9.951315,0.24074107,0.40128058,0.88596135,2.0547922
10803,2016.4728,4.5911255,42.26361,0.8251053,1.7836238,3.300464,7.9837966
10902,2016.4728,4.5911183,42.263607,0.8251119,1.7836317,3.3004656,7.98379
10903,2008.1213,2.1334653,20.190792,0.44083014,0.84451294,1.6598718,4.0982223
10904,2003.9668,0.78909075,9.951307,0.24074021,0.4012745,0.8859607,2.0547884
11103,2003.9668,0.7890862,9.951286,0.24073905,0.40127367,0.8859543,2.0547843
11104,2003.9668,0.7890928,9.951307,0.24074492,0.40127563,0.8859657,2.0547836
11204,2008.1213,2.1334734,20.19079,0.44083577,0.8445171,1.6598754,4.098213
11205,2003.9668,0.78909254,9.951321,0.24073976,0.40127826,0.8859598,2.0547884
11206,2016.4728,4.591132,42.263596,0.8251232,1.7836367,3.3004677,7.983801
11304,2003.9668,0.78909945,9.95132,0.24073881,0.40128022,0.8859609,2.054791
11401,2008.1213,2.1334746,20.190794,0.44083,0.8445326,1.6598778,4.098218
