pid,mean_wage
43403,160.0
43404,55.0
43501,175.0
43502,140.0
43601,150.0
43603,121.25
43604,150.0
43701,200.0
43704,45.0
43901,318.0
43902,245.0
43903,200.0
44001,100.0
44002,48.0
44101,120.0
44104,60.0
44201,350.0
44302,103.33333587646484
44304,180.0
44401,80.0
44502,100.0
44503,62.0
44504,211.6666717529297
44505,140.0
44601,100.0
44704,157.5
44801,98.0
44803,260.0
45101,506.6666564941406
45201,80.0
45401,23.0
45501,150.0
45502,300.0
45601,392.5
45603,240.0
45604,230.0
45801,150.0
45802,112.5
45803,383.3333435058594
45901,300.0
45902,190.0
46003,210.0
46004,160.0
46101,290.0
46103,292.5
46303,260.0
46304,425.0
46402,213.3333282470703
46503,360.0
46504,580.0
46702,185.0
46703,93.33333587646484
46704,214.0
46803,245.0
46805,140.0
46901,235.0
46902,175.0
47001,225.0
47101,183.75
47103,49.0
47301,233.75
47302,100.0
47401,236.25
47402,120.0
47501,130.0
47601,430.0
47604,275.0
47605,456.6666564941406
47801,320.0
47802,221.25
47803,220.0
47901,140.0
48101,190.0
48103,430.0
48104,230.0
48302,232.5
48303,100.0
48304,70.0
48401,232.5
48402,143.3333282470703
48403,240.0
48601,150.0
48602,100.0
48701,110.0
48702,70.0
48901,100.0
49001,110.0
49002,85.0
49004,147.0
49104,250.0
49105,150.0
49207,120.0
49304,200.0
49305,276.6666564941406
49401,180.0
49403,110.0
49404,130.0
49501,375.0
49602,34.0
49701,213.0
49702,130.0
49703,150.0
49704,140.0
49801,150.0
49804,70.0
50001,200.0
50002,190.0
50003,215.0
50102,128.3333282470703
50201,100.0
50202,193.3333282470703
50204,300.0
50302,45.0
50303,90.0
50401,723.3333129882812
50403,170.0
50503,80.0
50601,106.0
50602,247.5
50603,166.6666717529297
50702,155.0
50703,330.0
50802,112.75
50803,130.0
51001,155.75
51003,150.0
51101,70.0
51102,192.5
51103,180.0
51104,180.0
51201,180.0
51403,75.0
51501,215.0
51502,127.5
51503,120.0
51504,150.0
51601,133.3333282470703
51602,75.0
51801,160.0
51802,60.0
51804,220.0
51805,151.25
51902,106.33333587646484
51903,283.3333435058594
52001,105.0
52002,95.0
52003,80.0
52101,168.0
52103,55.0
52202,100.0
52302,185.0
52503,112.0
52601,140.0
52602,50.0
52604,533.3333129882812
52605,250.0
52803,150.0
52804,220.0
52901,278.3333435058594
52902,72.5
53002,312.5
53101,210.0
53102,92.0
53203,130.0
53301,323.3333435058594
53302,80.0
53402,306.6666564941406
53403,80.0
53501,32.0
53601,415.0
53701,475.0
