year,p_region,p_age,p_sex,p_married,p_edu,Ind,p_wage
2015,9,35,2,2,3,16,199
2020,9,40,2,2,3,16,270
2015,9,33,1,2,4,11,200
2020,9,38,1,2,4,3,210
2005,9,27,2,1,4,3,50
2000,9,39,1,2,3,15,130
2005,9,44,1,2,3,15,250
2010,9,49,1,2,3,15,400
2020,1,56,2,3,3,17,60
2020,1,30,1,1,4,9,250
2000,9,39,1,3,3,15,70
2010,9,43,2,3,4,17,175
2015,9,48,2,3,4,17,250
2020,9,53,2,3,4,17,360
2020,5,26,2,1,5,16,250
2020,1,24,2,1,4,3,250
2000,9,37,1,1,3,19,200
2005,9,42,1,2,3,19,180
2010,9,47,1,3,3,19,220
2015,9,52,1,2,3,19,340
2020,9,57,1,2,3,19,400
2005,9,40,2,2,3,3,90
2000,9,33,1,2,5,19,130
2005,9,38,1,2,5,19,250
2010,9,43,1,2,5,19,300
2015,9,48,1,2,5,19,300
2020,9,53,1,2,5,19,300
2000,9,33,2,2,5,19,20
2005,9,38,2,2,5,19,70
2010,9,43,2,2,5,19,150
2010,9,45,2,2,3,9,110
2015,9,50,2,2,3,9,125
2020,9,55,2,2,3,18,160
2015,9,22,2,1,4,11,190
2020,9,27,2,1,4,12,160
2020,9,23,2,1,3,7,210
2000,9,35,1,2,2,15,70
2005,9,40,1,2,2,15,260
2015,9,50,1,2,2,15,300
2015,9,46,2,2,2,9,60
2000,9,24,2,1,3,7,80
2005,9,17,2,1,2,19,40
2000,9,64,1,3,4,17,100
2005,9,69,1,3,4,17,160
2005,8,29,1,2,5,15,250
2010,8,34,1,2,5,15,235
2020,8,44,1,2,5,15,470
2020,9,87,2,3,1,17,27
2005,9,35,1,2,3,6,90
2010,9,40,1,2,3,6,200
2015,9,45,1,2,3,6,300
2000,9,53,1,2,3,6,120
2010,1,35,1,2,5,5,300
2015,1,40,1,2,5,5,475
2020,8,45,1,2,5,3,267
2000,9,23,2,1,5,7,80
2015,9,60,1,2,2,19,150
2020,9,65,1,2,2,19,250
2000,9,45,1,2,3,15,30
2020,9,40,2,2,4,3,180
2005,9,23,2,1,4,16,75
2010,9,53,1,2,3,1,500
2015,9,58,1,2,3,1,500
2020,9,63,1,2,3,1,500
2010,1,22,2,1,4,7,150
2000,9,39,1,2,3,15,200
2005,9,44,1,2,3,15,350
2015,9,54,1,2,3,15,450
2020,9,59,1,2,3,15,500
2000,9,36,2,2,3,7,70
2015,9,82,2,3,2,17,20
2020,9,87,2,3,2,17,27
2005,8,38,1,2,3,3,180
2010,8,43,1,2,3,3,225
2015,8,48,1,2,3,3,350
2020,8,53,1,2,3,4,350
2010,9,30,1,1,5,6,200
2015,9,35,1,2,5,6,250
2020,9,40,1,2,5,6,300
2010,9,57,2,3,2,15,60
2015,9,62,2,3,2,8,130
2020,9,67,2,3,2,12,100
2000,9,52,1,2,2,8,255
2000,9,19,1,1,3,3,50
2005,9,64,1,2,2,6,70
2010,7,36,1,1,5,6,270
2015,2,41,1,2,5,6,400
2020,14,46,1,2,5,3,450
2000,9,28,1,1,5,7,85
2010,9,37,2,2,3,10,40
2015,9,42,2,2,3,10,50
2020,9,47,2,2,3,16,180
2000,9,27,1,1,5,3,180
2010,1,37,1,1,5,11,750
2010,9,33,1,2,5,9,189
2015,9,38,1,2,5,9,300
2020,9,43,1,2,5,9,390
2010,14,46,2,2,3,7,95
2000,9,22,2,1,4,17,75
2000,9,20,2,1,3,3,65
2015,9,65,1,2,2,14,100
2015,9,63,2,2,2,15,90
2020,9,68,2,2,2,15,140
2015,1,37,1,1,3,6,200
2020,7,42,1,1,3,6,250
2020,1,41,1,1,5,6,300
2005,9,28,1,1,4,18,190
2010,10,54,1,2,2,6,180
2015,10,59,1,2,2,6,150
2010,10,30,1,1,3,8,150
2015,10,35,1,1,3,8,170
2020,10,40,1,1,3,8,270
2010,10,28,2,1,3,7,110
2015,11,33,2,2,3,17,30
2020,10,38,2,3,3,7,150
2010,4,25,1,2,3,6,150
2015,14,66,2,2,2,1,50
2020,9,70,2,3,2,17,27
2000,9,24,2,1,3,6,45
2005,9,40,1,2,3,6,200
2010,9,45,1,2,3,6,200
2015,9,50,1,2,3,6,430
2005,9,33,2,2,4,3,70
2010,9,38,2,2,4,9,110
2015,9,43,2,2,4,18,120
2020,9,48,2,2,4,18,200
2000,1,35,1,2,3,18,122
2000,8,32,1,1,5,3,150
2000,9,44,2,2,1,17,50
2005,9,49,2,2,1,17,60
2005,9,28,1,1,2,6,30
2000,9,21,2,1,3,3,65
2005,1,29,2,2,5,16,170
2000,9,45,1,2,4,3,155
2000,9,36,1,2,3,8,130
2005,9,41,1,2,3,8,300
2010,9,46,1,2,3,8,250
2015,9,51,1,2,3,8,350
2005,9,36,2,2,4,17,85
2010,9,41,2,2,4,17,150
2015,9,46,2,2,4,17,150
2005,1,30,1,2,3,9,120
2010,8,35,1,2,3,9,250
2015,8,40,1,2,3,9,270
2020,8,45,1,2,3,6,200
2000,9,22,2,1,4,7,70
2005,1,27,2,1,4,7,200
2005,10,25,2,1,4,17,160
2015,11,32,1,1,5,3,305
2000,9,45,2,2,2,9,90
2015,8,60,2,2,2,14,110
2005,9,26,1,1,5,16,70
2010,9,31,1,1,5,16,140
2015,8,36,1,2,5,16,250
2020,8,41,1,2,5,16,370
2010,8,25,2,1,4,17,148
2020,8,35,2,2,5,17,180
2010,9,63,2,3,1,15,20
2015,9,68,2,3,1,14,25
2020,9,73,2,3,1,17,27
2005,9,44,1,2,3,6,180
2010,9,49,1,3,3,6,150
2015,9,54,1,3,3,6,200
2020,9,59,1,3,3,6,250
2005,9,40,2,2,2,9,40
2015,9,26,1,1,4,3,180
2020,8,31,1,1,4,3,300
2005,9,36,1,2,3,9,150
2005,9,53,1,3,2,6,100
2015,9,63,1,3,2,6,150
2005,1,23,2,1,5,8,120
2000,9,57,2,2,3,11,100
2005,1,74,2,3,1,17,20
2005,1,40,1,2,3,8,100
2005,1,38,2,2,3,15,130
2005,10,65,1,2,3,12,70
2010,10,70,1,2,3,12,80
2000,10,28,2,2,5,13,102
2015,11,43,2,2,5,16,40
2000,8,29,1,2,5,3,145
2005,10,38,2,2,4,3,25
2010,10,43,2,2,4,17,60
2015,10,48,2,2,4,3,210
2020,10,53,2,2,4,3,250
2005,10,51,1,3,2,6,160
2010,10,56,1,3,2,6,150
2015,10,61,1,3,2,6,130
2020,10,29,1,1,5,18,250
2000,10,58,1,2,2,3,50
2000,10,49,2,3,2,9,60
2005,10,54,2,3,2,9,80
2010,10,59,2,3,2,9,130
2020,10,69,2,3,2,9,150
2000,10,28,1,2,3,9,170
2005,10,33,1,2,3,9,245
2010,10,38,1,2,3,9,290
2015,10,43,1,2,3,9,380
2020,10,48,1,2,3,9,400
2015,10,43,2,2,4,17,70
2005,8,29,1,2,5,3,230
2010,14,34,1,2,5,3,400
2015,8,39,1,2,5,3,525
2000,10,38,1,2,4,19,145
2005,10,43,1,2,4,19,258
2000,10,53,1,2,2,6,150
2005,10,58,1,2,2,6,130
2010,10,63,1,2,2,6,50
2005,10,53,2,2,2,12,65
2010,10,58,2,2,2,12,85
2015,10,63,2,2,2,12,120
2020,10,68,2,2,2,12,150
2000,10,24,2,1,4,16,60
2010,10,28,2,1,5,15,72
2015,10,33,2,1,5,17,30
2020,10,38,2,1,5,17,42
2000,10,48,1,2,2,6,100
2005,10,53,1,2,2,6,190
2010,10,58,1,2,2,6,150
2010,11,35,1,2,5,3,370
2015,11,40,1,2,5,3,560
2020,11,45,1,2,5,3,650
2005,10,28,1,1,5,3,225
2010,10,41,1,2,5,7,120
2005,10,34,2,2,5,16,250
2010,10,39,2,2,5,16,330
2020,10,49,2,2,5,16,150
2000,10,56,1,2,5,16,310
2005,10,36,1,2,5,15,210
2010,10,41,1,2,5,15,280
2015,10,46,1,2,5,15,380
2020,10,51,1,2,5,15,500
2005,10,33,2,1,4,16,90
2010,10,38,2,1,4,16,90
2020,10,48,2,1,4,9,100
2000,10,26,2,1,4,17,80
2015,10,41,2,2,4,17,130
2005,10,42,1,2,5,13,245
2020,10,57,1,3,5,3,230
2000,10,39,2,2,4,17,103
2005,10,44,2,3,5,17,210
2010,10,49,2,3,5,17,277
2015,10,54,2,3,5,17,200
2015,10,64,1,2,3,12,149
2020,10,69,1,2,3,12,215
2015,10,61,2,2,2,3,150
2020,10,66,2,2,2,17,200
2015,10,38,1,2,5,5,195
2020,10,43,1,2,5,5,350
2010,10,34,2,2,5,4,280
2015,10,39,2,2,5,4,240
2020,10,44,2,2,5,4,350
2015,10,26,1,1,5,4,130
2020,10,31,1,1,5,4,200
2015,1,23,1,1,3,9,180
2020,8,28,1,1,3,9,258
2000,10,39,1,2,5,3,440
2020,10,27,2,1,4,18,150
2020,10,26,1,1,5,3,250
2015,10,65,2,3,2,18,85
2020,10,70,2,3,2,18,100
2010,10,70,1,2,2,3,80
2015,10,75,1,2,2,15,35
2000,10,26,2,1,5,16,106
2020,10,46,2,2,5,17,200
2000,10,31,1,2,5,3,160
2005,10,36,1,2,5,3,220
2010,10,41,1,2,5,3,260
2015,10,46,1,2,5,3,380
2020,10,52,2,2,5,15,150
2020,10,25,2,1,5,11,250
2020,10,23,2,1,5,17,280
2000,10,53,1,2,3,3,40
2010,10,63,1,2,3,16,95
2015,10,68,1,2,3,7,100
2010,8,31,1,2,5,5,200
2015,8,36,1,2,5,5,300
2020,8,41,1,2,5,5,450
2010,10,25,2,1,5,3,183
2015,10,30,2,2,5,3,150
2020,10,35,2,2,5,15,90
2000,10,34,1,2,3,3,160
2005,10,39,1,2,3,3,323
2010,10,44,1,2,3,3,160
2020,10,54,1,2,3,3,400
2010,10,39,2,2,4,3,180
2000,10,46,1,2,4,8,110
2005,10,48,2,3,2,9,120
2010,10,53,2,3,2,3,120
2015,10,58,2,3,2,17,70
2000,10,20,2,1,3,17,65
2005,10,25,2,1,3,7,120
2010,10,30,2,1,3,3,130
2015,10,35,2,1,3,3,250
2005,10,23,1,1,4,7,67
2010,10,28,1,1,4,16,120
2015,10,33,1,1,4,16,120
2020,10,38,1,1,4,7,160
2000,10,16,2,1,2,3,42
2015,10,31,2,1,2,3,250
2005,10,53,1,2,3,6,90
2015,10,63,1,2,3,6,150
2005,10,25,2,1,2,3,60
2010,10,27,2,1,4,3,200
2020,10,37,2,1,4,3,300
2005,10,63,2,2,2,18,43
2010,10,68,2,2,2,18,45
2000,10,29,1,1,4,3,120
2010,10,39,1,2,5,3,300
2020,10,45,2,2,5,17,120
2005,10,35,1,2,4,7,100
2010,10,40,1,2,4,9,180
2015,10,45,1,2,4,9,200
2000,10,27,2,2,3,17,70
2010,10,37,2,2,3,7,130
2015,10,42,2,2,3,17,130
2020,10,47,2,2,3,17,98
2020,10,19,1,1,4,7,62
2000,10,50,1,2,2,15,145
2005,10,27,2,1,3,7,90
2010,10,32,2,1,3,3,90
2015,10,37,2,2,3,3,90
2005,10,62,2,2,1,14,58
2015,10,32,1,1,4,7,180
2000,10,35,1,2,3,4,150
2005,10,40,1,2,3,4,245
2010,10,45,1,2,3,4,280
2010,10,42,2,2,3,12,60
2015,10,47,2,2,3,17,90
2020,12,52,2,2,3,17,160
2015,10,21,2,1,4,10,200
2020,3,26,2,1,4,10,230
2020,3,23,2,1,5,10,164
2000,10,45,1,2,5,16,210
2005,10,50,1,2,5,16,398
2010,10,55,1,2,5,16,428
2015,10,60,1,2,5,16,700
2000,10,43,2,2,3,19,85
2005,10,48,2,2,3,17,120
2010,10,53,2,2,5,17,170
2015,10,58,2,2,5,17,220
2020,10,63,2,2,5,17,220
2010,5,27,1,1,5,6,200
2015,3,32,1,2,5,6,320
2020,3,37,1,2,5,6,500
2010,10,23,1,1,4,17,150
2015,10,28,1,1,4,15,170
2010,10,58,1,2,2,3,150
2010,10,70,2,2,3,12,120
2010,4,51,1,2,5,11,200
2015,4,56,1,2,5,11,250
2020,4,61,1,2,5,11,200
2005,4,40,2,2,4,14,130
2010,4,45,2,2,4,14,150
2015,4,50,2,2,4,14,300
2015,10,61,1,3,3,9,100
2020,10,66,1,3,3,9,200
2010,10,31,1,2,5,3,149
2015,10,36,1,2,5,3,190
2020,12,37,1,1,5,13,430
2010,10,30,2,2,4,3,200
2015,10,35,2,2,4,3,225
2000,10,41,1,2,3,3,180
2005,10,46,1,2,3,3,375
2010,10,51,1,2,3,3,360
2015,10,56,1,2,3,3,450
2020,1,33,1,2,5,10,400
2020,10,31,1,1,5,13,350
2015,8,40,2,2,5,15,203
2020,8,45,2,2,5,15,270
2015,8,40,1,2,5,15,265
2020,8,45,1,2,5,15,280
2015,10,37,1,2,5,3,490
2020,10,42,1,2,5,3,650
2000,10,52,1,2,2,3,90
2005,10,57,1,2,2,3,130
2010,10,62,1,2,2,3,143
2015,10,67,1,2,2,12,130
2020,10,72,1,2,2,12,170
2000,10,22,2,1,4,11,120
2005,10,27,2,2,4,11,200
2010,10,32,2,2,4,11,340
2020,10,42,2,2,4,16,250
2005,10,25,1,1,3,17,116
2010,10,30,1,1,3,17,170
2015,10,35,1,1,3,17,280
2020,10,40,1,1,3,17,300
2000,10,55,1,2,3,11,148
2005,10,60,1,2,3,11,300
2005,10,32,1,2,5,4,120
2020,10,47,1,2,5,4,240
2000,10,38,1,2,3,8,165
2010,10,48,1,2,3,8,120
2005,10,45,2,2,2,3,120
2020,10,35,1,1,5,3,300
2020,8,31,2,1,3,17,200
2000,10,29,1,2,3,3,190
2005,14,34,1,2,3,3,305
2010,14,39,1,2,3,3,470
2015,14,44,1,2,3,3,580
2020,14,49,1,2,3,3,800
2010,14,36,2,2,3,19,40
2015,14,41,2,2,3,11,250
2000,10,32,1,2,4,3,220
2000,10,32,1,2,3,3,210
2000,10,40,1,2,2,6,90
2005,10,45,1,2,2,12,140
2015,10,55,1,2,3,3,200
2020,10,60,1,2,3,3,270
2005,10,42,2,2,2,3,60
2010,10,47,2,2,2,3,170
2015,10,52,2,2,2,3,180
2020,10,57,2,2,2,3,250
2015,10,27,2,1,5,16,220
2020,10,32,2,2,5,16,280
2010,10,52,1,2,2,12,110
2015,10,57,1,2,2,12,142
2005,10,43,2,2,2,14,89
2010,10,48,2,2,2,3,125
2015,10,53,2,2,2,3,120
2000,10,40,1,2,3,19,100
2005,10,45,1,2,3,19,150
2010,10,50,1,2,3,6,50
2015,10,55,1,2,3,6,280
2020,10,60,1,2,3,6,250
2010,11,26,1,1,5,3,160
2015,3,31,1,1,5,11,240
2020,4,36,1,2,5,11,400
2005,10,45,2,2,3,6,20
2000,10,42,1,2,2,6,150
2005,10,47,1,2,2,6,150
2010,10,52,1,2,2,6,220
2015,10,57,1,2,2,6,300
2020,10,62,1,2,2,6,320
2005,10,41,2,2,3,14,80
2010,10,46,2,2,3,3,98
2015,10,51,2,2,3,3,140
2020,10,56,2,2,3,3,210
2020,10,26,2,1,4,18,265
2005,10,24,1,1,4,10,80
2005,10,54,1,2,3,3,100
2010,10,59,1,2,3,14,140
2015,10,64,1,2,3,14,80
2020,10,69,1,2,3,14,150
2005,10,52,2,2,2,1,85
2010,10,57,2,2,2,3,105
2015,10,62,2,2,2,3,142
2020,10,67,2,2,2,3,220
2000,10,22,2,1,4,17,75
2010,10,32,2,2,4,17,250
2015,10,37,2,2,4,17,250
2005,10,25,2,1,4,16,125
2010,4,30,2,2,4,16,145
2010,8,28,1,1,5,3,330
2015,8,33,1,2,5,3,590
2020,8,38,1,2,5,13,810
2015,6,48,1,2,3,3,230
2005,10,34,2,2,3,3,104
2010,10,39,2,2,3,3,95
2015,6,44,2,2,3,3,180
2020,6,49,2,3,3,3,220
2020,6,28,2,1,4,17,230
2010,10,44,1,2,2,3,250
2015,10,49,1,3,2,3,310
2020,10,54,1,3,2,3,400
2000,10,47,1,2,2,6,60
2005,10,52,1,2,2,6,150
2010,10,57,1,2,2,6,200
2015,10,62,1,2,2,6,250
2020,10,67,1,2,2,6,500
2010,10,52,2,2,2,1,60
2015,1,33,1,1,5,6,250
2015,10,31,2,2,5,13,100
2010,10,24,2,1,5,3,160
2015,10,29,2,2,5,3,200
2000,10,59,1,2,5,16,200
2005,8,31,1,2,5,3,250
2005,10,26,1,2,5,13,150
2000,10,36,1,2,4,3,110
2005,10,41,2,2,3,3,95
2010,10,46,2,2,3,3,90
2015,10,51,2,2,3,3,140
2020,10,56,2,2,3,3,185
2010,10,22,2,1,4,19,100
2020,9,28,1,1,5,15,180
2000,10,43,2,2,3,7,40
2000,10,51,1,2,2,8,160
2010,10,30,1,1,3,9,150
2020,8,42,1,2,5,3,330
2000,10,68,1,2,1,6,20
2005,10,73,1,2,1,14,55
2010,10,78,1,2,1,17,4
2015,10,78,2,2,2,17,20
2000,9,26,1,2,3,14,100
2005,8,31,1,2,3,14,220
2010,8,36,1,2,3,14,400
2000,9,26,2,2,3,11,70
2000,10,46,1,2,2,8,130
2005,10,51,1,3,2,8,170
2000,10,43,2,2,2,9,70
2005,10,48,2,3,2,9,80
2015,8,58,2,3,2,9,70
2005,8,23,2,1,3,17,97
2010,8,28,2,1,3,17,190
2015,8,33,2,1,3,17,210
2005,10,45,1,2,3,8,110
2010,10,50,1,2,3,9,130
2015,10,55,1,2,3,18,70
2020,10,60,1,2,3,3,210
2000,10,40,2,2,3,7,60
2005,10,45,2,2,3,3,108
2010,10,50,2,2,3,3,130
2015,10,55,2,2,3,3,150
2020,10,60,2,2,3,3,200
2015,4,27,1,1,5,10,190
2020,4,32,1,1,5,10,310
2020,10,30,1,1,5,10,300
2010,10,49,1,2,3,8,120
2015,10,54,1,2,3,17,160
2020,10,59,1,2,3,17,200
2010,10,47,2,2,3,8,135
2020,10,57,2,2,3,8,230
2020,8,27,1,1,4,15,230
2005,10,41,1,3,3,11,290
2010,10,46,1,2,3,11,350
2015,10,51,1,2,3,11,400
2020,10,56,1,2,3,11,550
2010,10,43,2,2,2,17,120
2015,10,48,2,2,2,5,100
2020,10,53,2,2,2,8,180
2015,10,53,2,2,3,9,100
2020,10,58,2,2,3,9,170
2015,10,30,1,1,5,3,320
2020,10,35,1,1,5,7,400
2005,10,44,2,3,2,19,70
2010,10,49,2,2,2,7,90
2020,10,59,2,2,2,3,70
2005,11,27,1,1,5,3,200
2010,1,32,1,2,5,3,300
2020,1,42,1,2,5,3,660
2000,10,20,2,1,4,9,65
2010,11,30,2,1,4,9,250
2015,11,35,2,1,4,9,400
2020,11,40,2,1,4,9,470
2010,10,47,1,2,3,3,180
2015,10,52,1,2,3,3,200
2020,10,57,1,2,3,3,200
2000,10,50,1,2,3,15,180
2005,10,55,1,2,3,15,398
2000,10,22,2,1,4,16,30
2005,10,27,2,1,5,16,200
2010,10,32,2,2,5,16,250
2015,10,37,2,2,5,16,80
2020,10,42,2,2,5,16,457
2010,8,29,2,2,5,17,80
2010,10,28,1,1,5,3,150
2015,8,33,1,1,5,3,260
2020,8,38,1,2,5,3,600
2010,10,27,2,1,4,17,219
2010,10,22,1,1,4,3,160
2015,10,27,1,1,4,17,170
2020,10,32,1,1,4,17,300
2000,10,27,2,1,3,16,90
2005,10,32,2,2,3,16,210
2010,10,37,2,2,5,16,290
2015,10,42,2,2,5,16,378
2020,10,47,2,2,5,16,477
2000,10,21,2,1,3,18,65
2000,10,54,1,2,3,15,237
2000,10,25,2,2,5,16,100
2005,10,30,2,2,5,16,240
2010,10,35,2,2,5,16,260
2000,10,25,2,1,4,12,75
2000,4,23,2,1,4,17,120
2000,10,45,1,2,3,3,120
2005,10,50,1,3,3,3,448
2010,10,55,1,3,3,3,350
2020,10,35,2,2,5,17,190
2015,11,26,2,1,5,7,147
2005,9,47,1,2,3,1,100
2010,9,52,1,2,3,1,200
2020,9,62,1,2,3,1,170
2005,9,35,2,2,3,9,50
2000,10,45,1,2,2,3,90
2005,10,50,1,2,2,3,415
2010,10,55,1,2,2,3,220
2015,10,60,1,2,2,6,180
2000,10,20,1,1,4,9,28
2010,1,30,1,1,5,14,150
2015,1,32,1,1,5,3,330
2020,1,37,1,2,5,10,450
2010,10,58,2,3,2,9,80
2005,8,29,1,2,5,15,190
2010,10,34,1,2,5,7,300
2015,10,39,1,2,5,7,600
2020,10,44,1,2,5,7,670
2000,10,44,1,2,3,15,185
2005,10,49,1,2,3,15,390
2010,10,54,1,2,3,15,250
2015,10,59,1,2,3,15,450
2005,10,45,2,2,3,8,99
2010,10,25,2,1,4,6,220
2015,10,29,1,1,5,13,300
2020,10,34,1,1,5,13,350
2005,10,81,2,3,1,1,60
2015,10,62,1,2,3,16,52
2010,10,61,2,3,2,9,150
2015,10,66,2,3,2,9,200
2010,15,31,1,2,4,15,250
2015,15,36,1,2,4,15,210
2020,15,41,1,2,4,15,350
2005,10,71,2,3,2,1,75
2010,10,76,2,3,2,1,20
2015,10,81,2,3,2,1,50
2020,10,84,1,3,1,17,27
2000,10,41,2,2,2,9,100
2005,10,24,1,1,4,15,119
2015,10,34,1,1,4,3,250
2005,10,21,2,1,3,19,70
2000,10,57,1,3,3,6,73
2005,10,62,1,3,3,6,96
2015,10,72,1,3,3,8,70
2020,10,77,1,3,3,16,70
2000,10,26,2,2,3,11,108
2010,10,36,2,2,3,14,67
2020,11,40,1,2,3,7,180
2010,8,24,2,1,3,17,120
2010,5,24,2,1,4,17,130
2000,11,39,1,2,3,3,215
2005,11,44,1,2,3,3,250
2010,11,49,1,2,3,3,370
2015,11,54,1,2,3,3,495
2000,11,35,2,2,3,16,44
2015,1,26,1,1,5,10,200
2020,1,31,1,1,5,10,240
2020,1,28,2,1,5,7,190
2000,11,44,1,2,3,12,140
2005,11,49,1,2,3,16,147
2010,11,54,1,2,3,16,250
2015,11,59,1,2,3,16,290
2000,11,44,2,2,2,3,70
2005,11,49,2,2,2,3,85
2010,11,54,2,2,2,3,100
2020,11,64,2,2,2,9,150
2020,11,35,1,1,5,1,210
2000,11,34,1,2,3,16,60
2015,11,49,1,2,3,8,147
2020,11,54,1,2,3,8,250
2005,11,37,2,2,3,3,120
2010,11,42,2,2,3,3,125
2015,11,47,2,2,3,3,177
2020,11,52,2,2,3,3,310
2020,11,26,1,1,4,7,200
2000,12,34,1,2,3,7,108
2000,12,32,2,2,3,7,40
2020,12,52,2,2,3,17,220
2010,11,53,1,2,3,16,160
2015,11,58,1,2,3,16,225
2020,11,63,1,2,3,16,275
2010,11,47,2,2,3,7,100
2015,11,52,2,2,3,7,120
2020,11,57,2,2,3,7,120
2020,11,32,1,1,5,16,120
2000,11,38,1,2,5,3,258
2000,11,36,2,2,4,16,140
2000,11,48,1,2,2,14,110
2010,11,58,1,2,2,6,300
2015,11,63,1,2,2,6,250
2020,11,68,1,2,2,4,200
2000,11,41,2,2,2,3,75
2005,11,46,2,2,2,3,100
2010,11,51,2,2,2,14,120
2015,11,56,2,2,2,14,148
2020,11,61,2,2,2,14,200
2005,11,22,1,1,4,9,120
2010,5,27,1,1,5,3,200
2015,5,32,1,2,5,3,280
2020,5,37,1,2,5,3,402
2010,11,24,2,1,5,10,120
2015,8,29,2,2,5,14,195
2010,11,79,2,3,1,17,20
2015,11,84,2,3,1,17,20
2000,11,32,1,2,4,3,140
2005,11,37,1,2,4,3,340
2000,11,28,1,1,5,3,100
2010,11,45,1,2,5,3,500
2015,11,50,1,2,5,3,670
2020,11,55,1,2,5,3,600
2010,11,44,2,2,4,7,36
2015,11,49,2,2,4,7,25
2020,11,54,2,2,4,7,50
2000,11,43,1,2,3,3,110
2000,11,49,1,2,2,6,174
2005,11,54,1,2,2,6,210
2010,11,59,1,2,2,6,235
2015,11,64,1,2,2,6,235
2020,11,69,1,2,2,6,365
2015,11,24,2,1,4,17,265
2020,11,29,2,1,4,17,380
2000,11,36,1,2,5,6,270
2005,11,41,1,2,5,6,470
2005,11,55,2,3,3,3,50
2010,11,60,2,3,3,3,20
2015,11,65,2,3,3,7,25
2020,11,70,2,3,3,12,135
2010,5,31,1,1,4,6,140
2005,12,35,1,2,3,12,110
2000,11,39,1,2,5,19,100
2000,11,39,2,2,4,17,180
2000,11,46,2,3,2,18,10
2005,11,51,2,3,2,18,25
2010,11,56,2,3,2,18,50
2005,11,26,1,1,4,9,120
2010,1,31,1,1,5,9,230
2010,11,39,1,2,3,8,200
2010,11,38,2,2,3,7,60
2000,11,42,2,3,3,20,50
2005,8,47,2,3,3,17,90
2010,8,20,1,1,3,3,80
2015,8,25,1,1,3,7,120
2020,8,30,1,1,3,3,230
2010,8,19,2,1,3,7,120
2015,8,24,2,1,3,7,160
2020,8,29,2,1,3,3,210
2010,8,43,1,1,3,3,150
2020,9,53,1,1,3,9,220
2005,1,43,1,1,1,3,100
2005,11,28,1,1,5,16,110
2010,11,33,1,2,5,10,125
2015,11,38,1,2,5,10,180
2005,11,26,2,1,4,16,130
2010,11,31,2,1,4,16,150
2015,11,36,2,2,4,16,200
2020,11,41,2,2,4,16,260
2000,11,50,2,2,2,8,60
2015,11,65,2,2,2,18,120
2000,11,24,2,1,4,7,80
2015,11,39,2,2,4,17,150
2020,1,44,2,2,4,17,180
2010,11,29,1,1,5,16,250
2015,11,34,1,2,5,16,280
2020,11,39,1,2,5,16,310
2000,11,48,1,2,2,12,90
2005,11,53,1,2,2,17,85
2010,11,58,1,2,2,17,105
2020,11,68,1,2,2,12,200
2015,11,33,2,2,3,3,240
2020,11,38,2,3,3,3,280
2015,11,31,1,1,4,14,200
2010,11,38,1,2,5,7,120
2015,11,43,1,2,5,7,210
2000,11,26,1,1,4,3,70
2010,11,36,1,2,5,9,250
2015,11,41,1,2,5,9,300
2000,11,63,2,3,2,3,45
2005,11,68,2,3,2,9,40
2020,11,83,2,3,2,17,27
2005,11,40,1,2,4,11,323
2010,11,45,1,2,5,11,400
2000,11,33,1,1,3,3,145
2005,1,38,1,2,3,3,250
2010,1,43,1,2,3,3,300
2015,1,48,1,2,3,3,400
2000,11,39,2,3,2,9,90
2005,11,44,2,3,2,9,120
2010,11,49,2,3,2,9,60
2015,11,54,2,3,2,9,100
2020,11,59,2,3,2,9,80
2010,11,25,1,1,3,3,160
2015,11,30,1,1,3,3,235
2020,11,35,1,1,3,7,250
2010,4,24,2,1,3,11,140
2015,11,29,2,1,3,3,125
2020,11,34,2,1,3,3,190
2005,11,53,2,3,2,18,80
2010,11,58,2,3,2,18,80
2015,11,63,2,3,2,9,120
2020,11,68,2,3,2,9,90
2010,11,72,2,2,2,17,20
2015,11,77,2,2,2,17,20
2020,11,82,2,3,2,17,27
2010,11,64,1,2,2,6,64
2015,11,69,1,2,2,14,150
2010,11,59,2,2,2,9,40
2020,11,69,2,2,2,14,170
2000,11,25,1,1,4,11,80
2005,11,30,1,2,4,11,281
2010,11,35,1,2,4,11,470
2015,11,40,1,2,4,11,670
2020,11,45,1,2,4,11,740
2000,11,23,2,1,3,19,180
2005,11,27,2,2,4,11,223
2010,11,32,2,2,4,11,380
2015,11,37,2,2,4,11,570
2020,11,42,2,2,4,11,560
2005,11,61,2,3,2,1,25
2010,11,66,2,3,2,1,20
2000,11,25,1,1,3,3,60
2000,11,43,2,2,2,9,50
2005,11,48,2,3,2,9,100
2005,11,26,1,1,4,6,120
2010,11,31,1,1,4,3,180
2015,11,36,1,1,4,3,310
2020,11,41,1,1,4,3,260
2005,11,23,1,2,3,9,120
2010,11,28,1,2,3,3,192
2015,11,33,1,2,3,3,255
2020,11,38,1,2,3,3,220
2000,11,64,1,2,2,11,60
2005,11,69,1,2,2,11,118
2010,11,74,1,2,2,11,120
2000,11,27,1,2,3,14,50
2005,11,32,1,2,3,3,97
2005,11,32,2,2,3,3,80
2010,11,37,2,3,3,14,100
2015,11,42,2,3,3,9,100
2020,11,47,2,3,3,3,245
2020,11,23,2,1,3,3,245
2020,11,20,2,1,4,3,54
2000,11,26,1,1,4,7,100
2010,11,36,1,2,4,8,170
2015,11,41,1,2,4,8,240
