year,p_region,p_age,p_sex,p_married,p_edu,Ind,p_wage
2010,1,32,1,2,5,12,420
2015,1,37,1,2,5,12,200
2020,1,42,1,2,5,12,600
2010,1,28,2,1,4,16,250
2020,1,38,2,1,4,16,250
2000,1,55,1,2,3,12,150
2010,1,65,1,2,3,12,100
2015,1,70,1,2,3,12,120
2000,1,49,2,2,3,3,140
2020,8,43,2,2,5,8,200
2020,1,40,1,1,5,18,250
2005,1,33,1,2,5,14,180
2015,1,43,1,2,5,6,310
2020,1,48,1,2,5,6,370
2005,1,27,2,2,5,18,150
2010,1,32,2,2,5,18,200
2015,1,37,2,2,5,18,200
2020,1,42,2,2,5,18,250
2020,5,40,2,2,5,16,97
2005,1,66,1,2,2,12,70
2010,1,71,1,2,2,12,80
2015,1,76,1,2,2,12,100
2020,8,81,1,2,2,12,95
2000,1,26,1,1,3,7,70
2005,1,31,1,2,3,7,120
2010,1,36,1,2,3,18,110
2015,1,41,1,2,3,18,130
2000,1,23,2,1,3,12,80
2020,1,43,2,2,3,7,36
2010,8,33,1,1,5,3,300
2015,8,38,1,2,5,3,420
2020,8,43,1,2,5,3,500
2015,8,36,1,1,5,6,190
2020,8,41,1,1,5,6,250
2015,1,21,2,1,3,9,125
2020,1,26,2,1,3,3,250
2015,1,55,1,1,3,12,200
2020,1,60,1,1,3,12,250
2000,1,40,1,2,2,3,100
2020,1,60,1,2,2,17,250
2000,1,35,2,2,2,3,80
2005,1,40,2,2,2,3,120
2010,1,45,2,2,2,3,180
2020,8,31,2,2,3,7,185
2020,1,29,1,1,4,4,230
2000,1,41,1,2,2,6,110
2005,8,46,1,2,2,6,150
2005,8,45,2,2,2,9,65
2020,1,73,1,2,3,12,100
2005,8,30,1,2,5,3,167
2010,8,35,1,2,5,13,450
2015,8,40,1,2,5,13,390
2020,8,45,1,2,5,13,650
2005,1,28,1,1,5,18,230
2010,1,33,1,1,5,9,150
2015,1,38,1,2,5,10,350
2020,1,43,1,2,5,10,450
2005,1,23,2,1,4,17,120
2010,1,28,2,1,4,17,145
2015,1,36,1,1,4,7,180
2020,1,41,1,1,4,3,250
2015,1,24,2,1,4,19,130
2000,1,49,1,2,2,8,100
2005,1,54,1,2,2,8,120
2010,1,59,1,2,2,8,120
2015,1,64,1,2,2,12,160
2020,1,69,1,2,2,12,190
2015,1,31,1,1,3,7,60
2005,1,46,2,2,2,9,110
2010,1,51,2,2,2,9,130
2015,1,56,2,2,2,9,120
2020,1,61,2,2,2,9,220
2000,1,58,1,2,2,3,80
2005,1,63,1,2,2,6,150
2010,1,68,1,2,2,6,120
2000,1,54,2,2,2,9,80
2015,4,69,2,2,2,1,120
2000,1,28,1,1,3,3,60
2010,11,38,1,2,3,6,150
2005,1,20,1,1,4,7,28
2010,1,41,1,1,3,6,200
2015,8,46,1,2,3,6,400
2020,8,51,1,2,3,6,450
2000,1,42,1,2,2,18,130
2000,1,41,2,2,2,9,90
2005,1,46,2,2,2,9,110
2010,1,51,2,2,2,9,80
2020,1,61,2,2,2,9,150
2015,1,31,2,1,5,7,160
2020,1,34,1,1,4,10,350
2000,1,45,2,2,3,11,97
2000,1,42,1,2,5,16,140
2005,1,47,1,2,5,16,300
2010,1,52,1,2,5,16,380
2000,1,39,2,2,4,17,100
2005,1,44,2,2,4,17,130
2010,1,49,2,2,4,17,150
2000,1,46,1,2,5,19,200
2005,1,51,1,2,5,19,250
2010,1,56,1,2,5,19,400
2015,1,61,1,2,5,19,400
2000,1,44,2,2,5,16,100
2015,1,28,1,1,5,16,55
2000,1,27,2,2,5,3,195
2000,1,28,2,1,5,5,120
2005,1,33,2,1,5,5,350
2000,1,54,1,2,2,7,60
2005,8,59,1,2,2,17,80
2005,8,54,2,2,2,20,50
2010,8,59,2,2,2,20,50
2020,8,69,2,2,2,20,100
2000,1,26,1,1,3,19,120
2000,1,24,2,1,5,16,40
2010,8,34,2,1,5,16,60
2000,1,27,1,1,5,10,200
2005,8,33,1,2,5,3,380
2010,8,38,1,2,5,3,410
2015,5,43,1,2,5,3,876
2020,5,48,1,2,5,3,990
2000,1,32,1,1,3,3,120
2015,1,59,1,2,3,3,220
2020,1,64,1,2,3,3,150
2015,1,32,2,1,4,11,157
2005,1,19,2,1,3,7,80
2010,1,24,2,1,3,11,120
2015,1,29,2,1,3,11,158
2015,1,25,1,1,4,16,50
2020,1,35,2,2,5,16,60
2005,1,44,1,2,5,19,200
2010,9,49,1,2,5,19,200
2015,9,54,1,2,5,19,200
2020,5,59,1,2,5,19,350
2005,1,66,2,2,2,20,50
2010,1,71,2,2,2,20,70
2015,1,76,2,3,2,20,60
2020,1,81,2,3,2,20,50
2010,1,44,1,3,3,7,200
2020,1,54,1,3,3,7,200
2005,1,37,1,1,3,9,150
2000,1,40,2,2,2,20,80
2005,1,20,2,1,3,8,200
2000,1,26,2,1,4,7,100
2005,1,31,2,1,5,7,150
2010,1,35,1,1,5,16,170
2005,1,25,2,1,5,17,130
2010,1,30,2,1,5,7,170
2015,1,35,2,1,5,3,220
2020,1,40,2,1,5,3,350
2020,1,32,1,1,5,10,300
2000,1,44,1,2,5,13,150
2015,1,59,1,3,5,16,139
2000,1,45,1,2,3,3,120
2020,1,28,2,1,3,17,190
2000,1,33,2,2,5,17,300
2005,1,38,2,2,5,17,700
2005,1,39,1,2,4,13,253
2010,1,44,1,2,4,18,250
2000,1,48,1,2,2,6,120
2005,1,53,1,2,2,6,180
2010,10,58,1,3,2,6,70
2005,1,53,2,2,2,17,60
2010,1,60,1,2,2,9,200
2015,1,65,1,2,2,16,160
2020,1,70,1,2,2,16,200
2005,1,49,2,2,2,9,50
2010,1,54,2,2,2,9,100
2000,1,18,2,1,3,8,90
2010,1,28,2,1,4,7,210
2020,8,38,1,1,4,9,200
2010,8,26,1,1,3,3,130
2015,8,31,1,1,3,18,180
2000,1,28,2,1,4,4,70
2015,11,43,2,2,4,11,525
2020,11,48,2,2,4,11,485
2020,11,53,1,2,4,8,510
2000,1,48,1,2,2,6,200
2005,1,53,1,2,2,6,150
2010,1,58,1,2,2,6,200
2015,1,63,1,2,2,6,250
2005,1,25,2,1,5,7,200
2010,1,29,1,1,5,13,180
2015,1,34,1,2,5,13,280
2020,1,39,1,2,5,13,300
2015,1,48,1,2,3,12,450
2020,1,53,1,2,3,12,200
2005,1,35,2,2,3,17,100
2010,1,40,2,2,3,3,150
2015,1,45,2,2,3,3,180
2020,1,50,2,2,3,3,200
2000,1,33,1,2,3,8,120
2000,1,58,1,2,1,1,30
2005,8,50,2,2,2,6,90
2005,8,29,2,1,5,7,150
2000,1,45,1,2,2,8,120
2005,1,50,1,2,2,8,80
2000,1,45,2,2,2,9,60
2015,1,60,2,2,2,9,150
2020,1,65,2,2,2,9,200
2005,1,26,2,1,4,5,108
2010,1,31,2,2,5,16,100
2015,1,36,2,2,5,16,220
2020,1,41,2,2,5,16,400
2010,1,33,1,1,5,7,150
2005,1,21,2,1,3,5,133
2010,1,26,2,1,3,5,145
2000,1,19,1,1,3,9,52
2000,1,54,1,2,2,18,73
2005,1,59,1,2,2,18,105
2010,1,64,1,2,2,18,100
2015,1,69,1,2,2,18,130
2000,1,30,2,1,4,3,63
2005,1,35,2,1,5,3,120
2010,1,40,2,1,5,3,120
2015,8,40,2,2,4,17,140
2020,8,45,2,3,4,17,300
2015,1,59,2,3,3,9,150
2020,1,64,2,3,3,9,200
2015,1,32,2,1,5,15,200
2020,1,37,2,1,5,15,300
2015,1,29,1,1,5,7,30
2000,1,43,2,3,3,7,50
2010,1,53,2,3,3,9,80
2005,1,26,1,1,5,10,250
2010,1,31,1,2,5,10,400
2015,8,36,1,2,5,10,480
2020,8,41,1,2,5,10,750
2000,1,31,1,2,5,11,170
2005,1,36,1,2,5,11,394
2010,1,41,1,2,5,11,550
2005,1,33,1,1,5,13,267
2000,1,24,2,1,4,13,86
2005,1,33,2,2,5,11,274
2010,1,38,2,2,5,11,400
2000,1,47,2,2,2,7,100
2010,1,57,2,2,2,7,80
2015,1,62,2,2,2,7,60
2020,1,67,2,2,2,7,300
2010,1,32,2,1,5,10,240
2010,1,28,1,1,3,7,120
2010,1,49,2,2,3,18,80
2015,1,54,2,2,3,18,180
2020,1,59,2,2,3,18,200
