year,p_region,p_age,p_sex,p_married,p_edu,Ind,p_wage,pid
2005,1,66,1,2,2,12,70,8501
2010,1,71,1,2,2,12,80,8501
2015,1,76,1,2,2,12,100,8501
2020,8,81,1,2,2,12,95,8501
2000,1,26,1,1,3,7,70,8503
2005,1,31,1,2,3,7,120,8503
2010,1,36,1,2,3,18,110,8503
2015,1,41,1,2,3,18,130,8503
2000,1,23,2,1,3,12,80,8504
2020,1,43,2,2,3,7,36,8504
2010,8,33,1,1,5,3,300,8603
2015,8,38,1,2,5,3,420,8603
2020,8,43,1,2,5,3,500,8603
2015,8,36,1,1,5,6,190,8604
2020,8,41,1,1,5,6,250,8604
2015,1,21,2,1,3,9,125,8605
2020,1,26,2,1,3,3,250,8605
2015,1,55,1,1,3,12,200,8701
2020,1,60,1,1,3,12,250,8701
2000,1,40,1,2,2,3,100,8801
2020,1,60,1,2,2,17,250,8801
2000,1,35,2,2,2,3,80,8802
2005,1,40,2,2,2,3,120,8802
2010,1,45,2,2,2,3,180,8802
2020,8,31,2,2,3,7,185,8803
2020,1,29,1,1,4,4,230,8804
2000,1,41,1,2,2,6,110,9003
2005,8,46,1,2,2,6,150,9003
2005,8,45,2,2,2,9,65,9004
2020,1,73,1,2,3,12,100,9101
2005,8,30,1,2,5,3,167,9103
2010,8,35,1,2,5,13,450,9103
2015,8,40,1,2,5,13,390,9103
2020,8,45,1,2,5,13,650,9103
2005,1,28,1,1,5,18,230,9104
2010,1,33,1,1,5,9,150,9104
2015,1,38,1,2,5,10,350,9104
2020,1,43,1,2,5,10,450,9104
2005,1,23,2,1,4,17,120,9105
2010,1,28,2,1,4,17,145,9105
2015,1,36,1,1,4,7,180,9202
2020,1,41,1,1,4,3,250,9202
2015,1,24,2,1,4,19,130,9203
2000,1,49,1,2,2,8,100,9301
2005,1,54,1,2,2,8,120,9301
2010,1,59,1,2,2,8,120,9301
2015,1,64,1,2,2,12,160,9301
2020,1,69,1,2,2,12,190,9301
2015,1,31,1,1,3,7,60,9302
2005,1,46,2,2,2,9,110,9303
2010,1,51,2,2,2,9,130,9303
2015,1,56,2,2,2,9,120,9303
2020,1,61,2,2,2,9,220,9303
2000,1,58,1,2,2,3,80,9401
2005,1,63,1,2,2,6,150,9401
2010,1,68,1,2,2,6,120,9401
2000,1,54,2,2,2,9,80,9402
2015,4,69,2,2,2,1,120,9402
2000,1,28,1,1,3,3,60,9404
2010,11,38,1,2,3,6,150,9404
2005,1,20,1,1,4,7,28,9503
2010,1,41,1,1,3,6,200,9701
2015,8,46,1,2,3,6,400,9701
2020,8,51,1,2,3,6,450,9701
2000,1,42,1,2,2,18,130,9801
2000,1,41,2,2,2,9,90,9802
2005,1,46,2,2,2,9,110,9802
2010,1,51,2,2,2,9,80,9802
2020,1,61,2,2,2,9,150,9802
2015,1,31,2,1,5,7,160,9803
2020,1,34,1,1,4,10,350,9804
2000,1,45,2,2,3,11,97,9902
2000,1,42,1,2,5,16,140,10001
2005,1,47,1,2,5,16,300,10001
2010,1,52,1,2,5,16,380,10001
2000,1,39,2,2,4,17,100,10002
2005,1,44,2,2,4,17,130,10002
2010,1,49,2,2,4,17,150,10002
2000,1,46,1,2,5,19,200,10101
2005,1,51,1,2,5,19,250,10101
2010,1,56,1,2,5,19,400,10101
2015,1,61,1,2,5,19,400,10101
2000,1,44,2,2,5,16,100,10102
2015,1,28,1,1,5,16,55,10105
2000,1,27,2,2,5,3,195,10201
2000,1,28,2,1,5,5,120,10202
2005,1,33,2,1,5,5,350,10202
2000,1,54,1,2,2,7,60,10301
2005,8,59,1,2,2,17,80,10301
2005,8,54,2,2,2,20,50,10302
2010,8,59,2,2,2,20,50,10302
2020,8,69,2,2,2,20,100,10302
2000,1,26,1,1,3,19,120,10303
2000,1,24,2,1,5,16,40,10304
2010,8,34,2,1,5,16,60,10304
2000,1,27,1,1,5,10,200,10403
2005,8,33,1,2,5,3,380,10404
2010,8,38,1,2,5,3,410,10404
2015,5,43,1,2,5,3,876,10404
2020,5,48,1,2,5,3,990,10404
2000,1,32,1,1,3,3,120,10504
2015,1,59,1,2,3,3,220,10601
2020,1,64,1,2,3,3,150,10601
2015,1,32,2,1,4,11,157,10603
2005,1,19,2,1,3,7,80,10604
2010,1,24,2,1,3,11,120,10604
2015,1,29,2,1,3,11,158,10604
2015,1,25,1,1,4,16,50,10605
2020,1,35,2,2,5,16,60,10705
2005,1,44,1,2,5,19,200,10803
2010,9,49,1,2,5,19,200,10803
2015,9,54,1,2,5,19,200,10803
2020,5,59,1,2,5,19,350,10803
2005,1,66,2,2,2,20,50,10902
2010,1,71,2,2,2,20,70,10902
2015,1,76,2,3,2,20,60,10902
2020,1,81,2,3,2,20,50,10902
2010,1,44,1,3,3,7,200,10903
2020,1,54,1,3,3,7,200,10903
2005,1,37,1,1,3,9,150,10904
2000,1,40,2,2,2,20,80,11103
2005,1,20,2,1,3,8,200,11104
2000,1,26,2,1,4,7,100,11204
2005,1,31,2,1,5,7,150,11204
2010,1,35,1,1,5,16,170,11205
2005,1,25,2,1,5,17,130,11206
2010,1,30,2,1,5,7,170,11206
2015,1,35,2,1,5,3,220,11206
2020,1,40,2,1,5,3,350,11206
2020,1,32,1,1,5,10,300,11304
2000,1,44,1,2,5,13,150,11401
2015,1,59,1,3,5,16,139,11401
2000,1,45,1,2,3,3,120,11501
2020,1,28,2,1,3,17,190,11504
2000,1,33,2,2,5,17,300,11604
2005,1,38,2,2,5,17,700,11604
2005,1,39,1,2,4,13,253,11803
2010,1,44,1,2,4,18,250,11803
2000,1,48,1,2,2,6,120,11901
2005,1,53,1,2,2,6,180,11901
2010,10,58,1,3,2,6,70,11901
2005,1,53,2,2,2,17,60,11902
2010,1,60,1,2,2,9,200,12001
2015,1,65,1,2,2,16,160,12001
2020,1,70,1,2,2,16,200,12001
2005,1,49,2,2,2,9,50,12002
2010,1,54,2,2,2,9,100,12002
2000,1,18,2,1,3,8,90,12003
2010,1,28,2,1,4,7,210,12003
2020,8,38,1,1,4,9,200,12303
2010,8,26,1,1,3,3,130,12304
2015,8,31,1,1,3,18,180,12304
2000,1,28,2,1,4,4,70,12501
2015,11,43,2,2,4,11,525,12501
2020,11,48,2,2,4,11,485,12501
2020,11,53,1,2,4,8,510,12502
2000,1,48,1,2,2,6,200,12601
2005,1,53,1,2,2,6,150,12601
2010,1,58,1,2,2,6,200,12601
2015,1,63,1,2,2,6,250,12601
2005,1,25,2,1,5,7,200,12603
2010,1,29,1,1,5,13,180,12604
2015,1,34,1,2,5,13,280,12604
2020,1,39,1,2,5,13,300,12604
2015,1,48,1,2,3,12,450,12803
2020,1,53,1,2,3,12,200,12803
2005,1,35,2,2,3,17,100,12804
2010,1,40,2,2,3,3,150,12804
2015,1,45,2,2,3,3,180,12804
2020,1,50,2,2,3,3,200,12804
2000,1,33,1,2,3,8,120,12901
2000,1,58,1,2,1,1,30,13001
2005,8,50,2,2,2,6,90,13002
2005,8,29,2,1,5,7,150,13004
2000,1,45,1,2,2,8,120,13101
2005,1,50,1,2,2,8,80,13101
2000,1,45,2,2,2,9,60,13102
2015,1,60,2,2,2,9,150,13102
2020,1,65,2,2,2,9,200,13102
2005,1,26,2,1,4,5,108,13103
2010,1,31,2,2,5,16,100,13103
2015,1,36,2,2,5,16,220,13103
2020,1,41,2,2,5,16,400,13103
2010,1,33,1,1,5,7,150,13104
2005,1,21,2,1,3,5,133,13203
2010,1,26,2,1,3,5,145,13203
2000,1,19,1,1,3,9,52,13204
2000,1,54,1,2,2,18,73,13301
2005,1,59,1,2,2,18,105,13301
2010,1,64,1,2,2,18,100,13301
2015,1,69,1,2,2,18,130,13301
2000,1,30,2,1,4,3,63,13303
2005,1,35,2,1,5,3,120,13303
2010,1,40,2,1,5,3,120,13303
2015,8,40,2,2,4,17,140,13304
2020,8,45,2,3,4,17,300,13304
2015,1,59,2,3,3,9,150,13401
2020,1,64,2,3,3,9,200,13401
2015,1,32,2,1,5,15,200,13403
2020,1,37,2,1,5,15,300,13403
2015,1,29,1,1,5,7,30,13404
2000,1,43,2,3,3,7,50,13501
2010,1,53,2,3,3,9,80,13501
2005,1,26,1,1,5,10,250,13502
2010,1,31,1,2,5,10,400,13502
2015,8,36,1,2,5,10,480,13502
2020,8,41,1,2,5,10,750,13502
2000,1,31,1,2,5,11,170,13601
2005,1,36,1,2,5,11,394,13601
2010,1,41,1,2,5,11,550,13601
2005,1,33,1,1,5,13,267,13602
2000,1,24,2,1,4,13,86,13603
2005,1,33,2,2,5,11,274,13604
2010,1,38,2,2,5,11,400,13604
2000,1,47,2,2,2,7,100,13702
2010,1,57,2,2,2,7,80,13702
2015,1,62,2,2,2,7,60,13702
2020,1,67,2,2,2,7,300,13702
2010,1,32,2,1,5,10,240,13703
2010,1,28,1,1,3,7,120,13704
2010,1,49,2,2,3,18,80,13902
2015,1,54,2,2,3,18,180,13902
2020,1,59,2,2,3,18,200,13902
2015,1,26,2,1,5,17,180,13903
2020,1,31,2,1,5,17,250,13903
2020,1,29,2,1,4,17,250,13904
2000,1,27,1,1,2,3,110,14001
2000,1,21,2,1,3,7,53,14002
2005,1,56,2,3,1,9,130,14101
2000,1,28,1,1,4,3,90,14102
2005,1,33,1,1,4,3,170,14102
2020,1,48,1,1,4,7,260,14102
2000,1,30,1,1,4,7,100,14103
2000,1,30,1,2,5,17,115,14202
2005,1,35,1,2,5,17,220,14202
2010,1,40,1,2,5,16,300,14202
2015,1,45,1,2,5,16,400,14202
2020,1,50,1,2,5,16,300,14202
2000,1,23,2,2,3,11,100,14203
2005,1,28,2,2,3,11,290,14203
2010,1,33,2,2,3,11,385,14203
2015,1,38,2,2,3,11,400,14203
2020,1,43,2,2,3,11,540,14203
2005,11,35,1,2,3,8,218,14301
2005,1,62,2,3,2,7,100,14401
2010,1,67,2,3,2,7,100,14401
2005,1,39,2,2,3,9,40,14403
2010,1,44,2,2,3,16,80,14403
2005,1,51,1,2,3,19,166,14501
2010,1,56,1,2,3,8,140,14501
2015,1,61,1,2,3,8,160,14501
2020,1,66,1,2,3,8,300,14501
2000,1,44,2,2,2,3,70,14502
2010,1,54,2,2,2,3,30,14502
2010,1,26,2,1,5,16,40,14503
2020,1,36,2,1,5,17,300,14503
2015,1,28,1,1,4,11,130,14504
2005,1,26,1,1,3,12,200,14604
2000,1,37,1,3,2,3,130,14701
2010,1,41,2,1,5,7,70,14809
2015,1,46,2,1,5,7,145,14809
2020,1,51,2,1,5,7,200,14809
2010,1,52,1,2,3,6,250,14901
2015,1,57,1,2,3,6,350,14901
2020,1,62,1,2,3,6,300,14901
2005,1,48,2,2,3,20,140,14902
2010,1,53,2,2,3,7,108,14902
2015,1,58,2,2,3,7,150,14902
2020,1,63,2,2,3,7,70,14902
2010,1,25,1,1,4,19,170,14903
2020,8,35,1,2,4,19,300,14903
2015,1,26,1,1,5,4,230,14904
2000,5,28,1,1,5,10,102,15003
2000,5,25,2,1,5,16,103,15004
2005,5,30,2,2,5,16,180,15004
2000,1,31,1,1,5,4,230,15101
2000,1,27,2,1,3,3,85,15201
2000,1,32,1,1,5,15,110,15301
2005,1,37,1,2,5,15,280,15301
2010,1,42,1,2,5,15,350,15301
2015,1,47,1,2,5,15,500,15301
2020,1,52,1,2,5,15,500,15301
2000,1,36,2,2,4,16,60,15303
2005,4,41,2,2,4,17,90,15303
2000,1,55,2,2,1,12,40,15402
2005,1,60,2,2,1,12,60,15402
2000,8,32,1,2,3,7,150,15501
2005,1,37,1,2,3,7,100,15501
2000,8,30,2,2,3,18,65,15502
2005,1,35,2,2,5,18,125,15502
2010,1,40,2,2,5,3,180,15502
2015,1,45,2,2,5,3,220,15502
2020,1,50,2,2,5,3,180,15502
2020,1,21,2,1,4,13,200,15504
2015,1,49,1,2,5,7,323,15601
2020,1,54,1,2,5,7,380,15601
2010,1,42,2,2,4,17,200,15602
2015,1,47,2,2,4,17,340,15602
2020,1,52,2,2,4,17,330,15602
2000,1,53,1,2,3,15,180,15701
2020,1,73,1,2,3,6,200,15701
2000,1,51,2,2,3,11,100,15702
2005,1,56,2,2,3,18,40,15702
2010,1,61,2,2,3,18,50,15702
2010,1,36,2,1,5,16,200,15703
2015,1,41,2,1,5,16,210,15703
2020,1,46,2,1,5,16,120,15703
2000,1,24,2,1,4,13,150,15705
2005,1,29,2,2,4,18,236,15705
